KLF4	0.14144202365654657	1
MAZ	0.041675579513654526	1
RREB1	-0.18520410463255743	1
SP8	0.5457172136024615	6.705757462043715e-60
KLF9	0.2733557307213096	7.159739143780746e-08
KLF14	0.5597214033182575	1.0072246127529422e-53
ETV5	0.7413686910165189	3.5266983491878442e-68
KLF5	0.5082040358891075	1.45418985434295e-106
Zfx	0.2188833216196805	0.1463972131874276
TFAP2C(var.2)	0.09181828173665907	1
BHLHE22(var.2)	-0.006431230005254918	1
KLF2	0.524235871450325	2.7150198930677607e-78
NHLH1	-0.04527621815760485	1
ASCL1	-0.03327521874217931	1
ELK4	0.7371617300882783	3.962041297259541e-73
ZBTB7A	0.751990179586853	5.462258152772339e-90
SP3	0.5447304245784604	2.0639598538877133e-91
KLF15	0.48562686045116643	2.3216088858535756e-104
TFAP2A	0.16815000991294926	1
SP2	0.5694982748657899	7.902252646161196e-71
SP1	0.5909449593561106	1.393954673108522e-115
NRF1	0.6705493208862334	2.757348637579801e-110
KLF6	0.5119314525719787	4.199230484783795e-22
SP4	0.5927703748504588	2.618597086167772e-119
SP9	0.5256003737504663	1.1832825003084162e-74
ZNF460	0.06622841048468464	1
E2F6	0.2939399432127373	0.006763507678504688
ZBTB26	-0.19324736768917983	1
ZNF341	-0.1218978506852082	1
ZNF263	0.04230629622892823	1
IRF3	0.22452996174229156	1
IRF9	-0.07692687410278087	1
IRF1	0.07793574588101326	1
STAT1::STAT2	-0.07460875621481988	1
IRF2	-0.19920496497043128	1
IRF5	0.10549364355817337	1
IRF8	-0.07678894692763616	1
TFAP2B(var.2)	0.3134847334717006	1
Klf1	0.19547897010355642	0.31338072921517013
THAP11	0.7396288198129926	1.079374145883877e-87
CTCFL	0.2568027302094694	0.0003495968976474318
Klf12	0.5056724132742352	7.038840366204734e-15
ZNF148	0.2072404374603305	3.349077978029133e-06
Wt1	0.13747278381650985	1
EGR3	0.309103592308662	0.0004872255657295222
EGR1	0.28777308585746997	7.121814261420934e-08
TCF3	-0.2787038369636039	0.00018977590007250952
TCF12(var.2)	-0.27868040686711804	0.00020889422247901063
CREB1	0.1443298340662862	1
MZF1(var.2)	0.012821499008579984	1
ELF5	0.738840306590774	1.1249052305277245e-20
ELF2	0.781578452842057	1.3163740508882573e-30
YY1	0.5070296228490696	6.87555177446743e-30
ZNF684	0.23776331929583128	1
ZNF135	-0.06125961589371254	1
KLF16	0.49382143269590395	6.392526522316181e-56
KLF11	0.5280084807816601	4.415828120159579e-58
KLF17	-0.023191527334692874	1
TFDP1	0.38653083730282356	0.07940285457745663
YY2	0.27677834358215614	0.0001940064351758109
ZFP42	0.4932532393429746	3.8440290432010215e-24
ELF1	0.5279336701477475	3.5001261365627446e-07
GABPA	0.48961093723593563	1.3919310392841351e-05
ETV1	0.4926376338246736	1.6135088796559394e-05
ZKSCAN5	-0.11570835446534167	1
PPARA::RXRA	0.41226330942256495	1
Pparg::Rxra	-0.1694077813276036	1
EHF	0.5020819387226205	4.350588584707816e-10
ZEB1	-0.2515055350746377	0.005335150150951545
KLF10	0.5009552260884421	3.909431548167808e-15
RFX1	0.03739360030954553	1
RFX3	0.06956833751458946	1
ZNF140	0.3853228702836893	1
ETV6	0.8528926198882002	1.127764378500252e-25
EGR2	0.3484677187397138	1
EGR4	0.31109664607553456	0.005347926339284924
Znf281	-0.06263548136637909	1
NHLH2	-0.0015768816350969495	1
Zic1::Zic2	-0.11626205758200814	1
TCF4	-0.2887786531459604	2.340920402215645e-09
ZNF16	-0.347139378475517	0.00957740897517235
NFYA	0.5589118344717344	5.612537005104761e-16
NFYC	0.5708856486397866	2.414352067539491e-16
KLF3	0.48537235601621576	3.6055036501091216e-12
TFAP2E	-0.0783940183085512	1
NFIB	-0.32509593137077963	0.21307151087114617
Plagl1	-0.22808892627853516	0.10464065871611979
NFIX(var.2)	-0.04004462437709566	1
EWSR1-FLI1	-0.08717372316714522	1
KLF13	0.5952212746275385	2.7637368790977e-16
RELB	0.0679268849573802	1
RARA(var.2)	-0.10807754151098259	1
RARA::RXRG	-0.20745602144066755	1
RARA::RXRA	-0.3444006007971271	0.04807670093477005
ZBTB14	0.2361259734338721	1
ZBTB33	0.8299313305105168	4.181948258352041e-31
CTCF	0.29763560964223035	0.01048218750222737
MYOG	-0.32892109426901284	0.08328743309434675
TBP	0.13889357601027885	1
PLAG1	-0.08868410603080079	1
MAFK	-0.15529030178743686	1
Smad2::Smad3	-0.06086895213376142	1
BACH1	-0.130070034258023	1
RELA	-0.306002803230496	1
HINFP	0.2066375644880043	1
TFAP2B(var.3)	-0.10722970697863776	1
MITF	0.40148552216335154	0.0012464484219853608
SREBF2(var.2)	0.3207338987425462	1
USF2	0.3539074563997693	0.03879170654012622
SREBF1(var.2)	0.3432889621026076	1
Stat5b	0.8674083264554407	1.20200663941164e-14
CENPB	-0.11525670096574547	1
MYF5	-0.39278805633570957	1
Ptf1a(var.2)	-0.39262283987517055	1
USF1	0.30904068237284166	1
TFEB	0.5290067485279453	0.00421813549460706
BHLHE41	0.5380575774082714	3.918583285652818e-05
FOSL2	-0.0817529540416404	1
PBX3	0.6084370651729222	8.117649038669705e-05
ETS2	0.8235764319631685	5.83551178232909e-21
TFEC	0.3125077028425154	0.12405292423439579
RBPJ	0.5910352259661156	1
TFAP2A(var.3)	-0.08927204358361174	1
TFAP2C(var.3)	-0.09758292398908064	1
NR2C2	0.14367677027524806	1
Ptf1a(var.3)	-0.2557694455115286	1
Rbpjl	-0.24756899910184194	1
MAFF	0.15185310601277335	1
MAFG	0.23396046753368438	1
